span_id,code,definition,libelle,cos_rr_ln,gliner_score,bin,vote_opus,vote_fable_v2,vote_fable_v3,n_yes,label
39,L030,Phlegmon des doigts et des orteils,évoluant depuis 48 heures malgré une antibiothérapie orale,0.027195,0.0707,,0,0,0,0,0
40,L030,Phlegmon des doigts et des orteils,"collection, sur la face palmaire du pouce droit",0.345106,0.0832,,1,1,0,2,1
41,L030,Phlegmon des doigts et des orteils,plaie profonde de la main droite,0.169857,0.377,,0,0,0,0,0
42,L030,Phlegmon des doigts et des orteils,abcès profond de la main droite par abord direct,0.413655,0.2747,,1,1,1,3,1
43,L031,Phlegmon d'autres parties d'un membre,tissu inflammatoire adhérentiel,0.249571,0.1119,,1,0,0,1,0
44,L059,Sinus pilonidal (sans abcès),kyste pilonidal évoluant depuis plusieurs mois,0.406469,0.3991,,1,1,1,3,1
45,L088,Autres infections localisées précisées de la peau et du tissu cellulaire sous-cutané,adhérences fibreuses,0.171825,0.1428,,1,0,0,1,0
46,L732,Hidrosadénite suppurée,induration des tissus adjacents,0.097393,0.1584,,1,0,0,1,0
47,M0004,Arthrite et polyarthrite à staphylocoques - Articulations de la main,arthrotomie,0.025147,0.0698,,0,0,0,0,0
48,M0004,Arthrite et polyarthrite à staphylocoques - Articulations de la main,arthrite septique de la main droite,0.480011,0.5694,,1,1,1,3,1
49,M0007,Arthrite et polyarthrite à staphylocoques - Articulations de la cheville et du pied,infection articulaire à staphyloco,0.470083,0.1965,,1,1,1,3,1
50,M0084,Arthrite et polyarthrite dues à d'autres bactéries précisées - Articulations de la main,arthrite septique des articulations de la main droite,0.741726,0.5207,,1,1,1,3,1
51,M0094,"Arthrite à bactéries pyogènes, sans précision - Articulations de la main",arthrite septique de la main droite,0.697181,0.6064,,1,1,1,3,1
52,M0094,"Arthrite à bactéries pyogènes, sans précision - Articulations de la main",arthrite septique de la main droite,0.697181,0.59,,1,1,1,3,1
53,M0634,Nodule rhumatoïde - Articulations de la main,nodules rhumatoïdes au niveau des articulations métacarpophalangiennes et interphalangiennes,0.628672,0.4807,,1,1,1,3,1
54,M1004,Goutte idiopathique - Articulations de la main,arthrite goutteuse invalidante au niveau de la main gauche,0.762094,0.4683,,1,1,1,3,1
55,M1226,Synovite villonodulaire (pigmentaire) - Articulation du genou,synovite villonodulaire du genou droit,0.831516,0.5104,,1,1,1,3,1
56,M1226,Synovite villonodulaire (pigmentaire) - Articulation du genou,synovite villonodulaire pigmentaire du genou droit,0.906919,0.5816,,1,1,1,3,1
57,M1281,"Autres arthropathies spécifiques, non classées ailleurs - Articulations acromio-claviculaire, scapulo-humérale, et sterno-claviculaire",arthropathie spécifique de la région scapulaire,0.838701,0.5959,,1,1,1,3,1
58,M1384,Autres arthrites précisées - Articulations de la main,arthrite inflammatoire chronique des articulations de la main droite,0.681897,0.5566,,1,1,1,3,1
59,M1384,Autres arthrites précisées - Articulations de la main,arthrite inflammatoire touchant les articulations de la main droite,0.808334,0.4944,,1,1,1,3,1
60,M1394,"Arthrite, sans précision - Articulations de la main",inflammation articulaire persistante au niveau de la main droite,0.540745,0.4879,,1,1,1,3,1
61,M180,"Arthrose primaire de la première articulation carpo-métacarpienne, bilatérale","bilatérale, prédominant à droite",0.087406,0.2121,,1,0,0,1,0
62,M1987,Autres arthroses précisées - Articulations de la cheville et du pied,arthrodèse,0.162298,0.0623,,0,0,0,0,0
63,M204,Autre(s) orteil(s) en marteau (acquis),déformation acquise du deuxième orteil gauche en marteau,0.733912,0.618,,1,1,1,3,1
64,M2157,Main et pied bot(e) ou en griffe acquis(e) - Cheville et pied,déformation en griffe du pied gauche,0.681021,0.2872,,1,1,1,3,1
65,M2157,Main et pied bot(e) ou en griffe acquis(e) - Cheville et pied,déformation acquise du pied droit en griffe,0.728457,0.5695,,1,1,1,3,1
66,M2157,Main et pied bot(e) ou en griffe acquis(e) - Cheville et pied,déformation acquise du pied en griffe,0.726477,0.5759,,1,1,1,3,1
67,M2320,Lésion d'un ménisque due à une déchirure ou un traumatisme ancien - Localisations multiples,large déchirure complexe en anse de seau,0.222117,0.31,,1,1,1,3,1
68,M2320,Lésion d'un ménisque due à une déchirure ou un traumatisme ancien - Localisations multiples,lésion méniscale traumatique ancienne du genou droit,0.623547,0.5375,,1,1,1,3,1
69,M2320,Lésion d'un ménisque due à une déchirure ou un traumatisme ancien - Localisations multiples,déchirures en anse de seau,0.277686,0.2145,,1,1,1,3,1
70,M2320,Lésion d'un ménisque due à une déchirure ou un traumatisme ancien - Localisations multiples,déchirure en anse de seau du ménisque interne,0.589925,0.4401,,1,1,1,3,1
71,M2322,Lésion d'un ménisque due à une déchirure ou un traumatisme ancien - CPMI,déchirure en anse de seau,0.240292,0.2563,,1,1,1,3,1
72,M2323,Lésion d'un ménisque due à une déchirure ou un traumatisme ancien - Autre partie MI,déchirure complexe en anse de seau,0.207279,0.4405,,1,1,1,3,1
73,M2323,Lésion d'un ménisque due à une déchirure ou un traumatisme ancien - Autre partie MI,déchirure complexe en anse de seau,0.207279,0.303,,1,1,1,3,1
74,M2323,Lésion d'un ménisque due à une déchirure ou un traumatisme ancien - Autre partie MI,déchirure complexe en anse de seau,0.207279,0.367,,1,1,1,3,1
75,M2323,Lésion d'un ménisque due à une déchirure ou un traumatisme ancien - Autre partie MI,réinsertion méniscale après fixation,0.442294,0.0509,,1,0,0,1,0
76,M2324,Lésion d'un ménisque due à une déchirure ou un traumatisme ancien - CAME,lésion méniscale externe ancienne en rapport avec une déchirure traumatique,0.809542,0.467,,1,1,1,3,1
77,M2325,Lésion d'un ménisque due à une déchirure ou un traumatisme ancien - CPME,lésion ancienne de la corne postérieure du ménisque externe droit,0.725935,0.5134,,1,1,1,3,1
78,M2330,Autres atteintes du ménisque - Localisations multiples,lésions méniscales multiples,0.717078,0.5664,,1,1,1,3,1
79,M2330,Autres atteintes du ménisque - Localisations multiples,Ménisque latéral,0.66782,0.119,,1,0,0,1,0
80,M2331,Autres atteintes du ménisque - CAMI,tissu méniscal sain,0.508852,0.0576,,0,0,0,0,0
81,M2332,Autres atteintes du ménisque - CPMI,lambeau méniscal à la pince basket,0.402523,0.0918,,1,1,1,3,1
82,M2332,Autres atteintes du ménisque - CPMI,dégénérescence localisée de la corne postérieure du ménisque interne,0.631394,0.4529,,1,1,1,3,1
83,M2332,Autres atteintes du ménisque - CPMI,Lésion méniscale interne complexe,0.559229,0.3191,,1,1,1,3,1
84,M2332,Autres atteintes du ménisque - CPMI,atteinte dégénérative de la corne postérieure du ménisque interne,0.689797,0.5204,,1,1,1,3,1
85,M2332,Autres atteintes du ménisque - CPMI,ménisque interne présent,0.561526,0.1204,,1,0,0,1,0
86,M2333,Autres atteintes du ménisque - Autre partie MI,atteinte méniscale interne,0.666382,0.4354,,1,1,1,3,1
87,M2334,Autres atteintes du ménisque - CAME,"lésion méniscale externe, probablement dégénérative",0.595913,0.4655,,1,1,1,3,1
88,M2335,Autres atteintes du ménisque - CPME,Lésion méniscale dégénérative de la corne postérieure du ménisque externe,0.642266,0.3758,,1,1,1,3,1
89,M2335,Autres atteintes du ménisque - CPME,atteinte méniscale du genou droit,0.453171,0.4908,,1,1,1,3,1
90,M2336,Autres atteintes du ménisque - Autre partie ME,Ménisque externe présent,0.720965,0.1471,,1,0,0,1,0
91,M2336,Autres atteintes du ménisque - Autre partie ME,épisodes de blocage méniscal,0.588324,0.4261,,1,0,0,1,0
92,M2351,Instabilité chronique du genou - LCAE,instabilité chronique du genou gauche évoluant depuis plusieurs mois,0.752498,0.498,,1,1,1,3,1
93,M2361,Autres ruptures spontanées de ligament(s) du genou - LCAE,rupture spontanée du ligament croisé antéro-externe du genou droit,0.832405,0.5391,,1,1,1,3,1
94,M2361,Autres ruptures spontanées de ligament(s) du genou - LCAE,rupture sponta,0.298565,0.1275,,1,1,0,2,1
95,M2361,Autres ruptures spontanées de ligament(s) du genou - LCAE,rupture spontanée du ligament croisé antéro-externe du genou droit,0.832405,0.5262,,1,1,1,3,1
96,M2361,Autres ruptures spontanées de ligament(s) du genou - LCAE,rupture sponta,0.298565,0.0863,,1,1,0,2,1
97,M2361,Autres ruptures spontanées de ligament(s) du genou - LCAE,rupture spontanée du ligament croisé antéro-externe du genou droit,0.832405,0.4792,,1,1,1,3,1
98,M2361,Autres ruptures spontanées de ligament(s) du genou - LCAE,rupture spontanée du ligament croisé antéro-externe (LCAE,0.800177,0.5274,,1,1,1,3,1
99,M238,Autres lésions internes du genou,Ménisque interne,0.485587,0.1404,,1,0,0,1,0
100,M238,Autres lésions internes du genou,instabilité chronique du genou droit suite à une ancienne rupture ligamentaire,0.517969,0.4516,,1,1,1,3,1
101,M2381,Autres lésions internes du genou - LCAE,lésion méniscale ni cartilagineuse associée,0.235701,0.1848,,0,0,0,0,0
102,M2382,Autres lésions internes du genou - LCP,présent,0.092748,0.0543,,0,0,0,0,0
103,M2391,"Lésion interne du genou, sans précision - LCAE/CAMI",instabilité chronique du genou droit li,0.612258,0.3757,,1,1,1,3,1
104,M2392,"Lésion interne du genou, sans précision - LCP/CPMI",lésion méniscale interne du genou droit,0.628621,0.5779,,1,1,1,3,1
105,M2427,Lésion ligamentaire - Articulations de la cheville et du pied,instabilité ligamentaire chronique de la cheville droite,0.620407,0.5236,,1,1,1,3,1
106,M2427,Lésion ligamentaire - Articulations de la cheville et du pied,partiellement rompu,-0.033303,0.1465,,1,1,0,2,1
107,M2427,Lésion ligamentaire - Articulations de la cheville et du pied,instabilité ligamentaire de la cheville droite suite à une chute récente,0.502439,0.5181,,1,1,1,3,1
108,M2487,"Autres lésions articulaires spécifiques, non classées ailleurs - Articulations de la cheville et du pied",anomalie articulaire spécifique de la cheville et du pied,0.768172,0.516,,1,1,1,3,1
109,M2533,Autres instabilités articulaires - Articulation du poignet,stabilité articulaire en fin de procédure,0.092602,0.0541,,0,0,0,0,0
110,M2537,Autres instabilités articulaires - Articulations de la cheville et du pied,instabilité chronique de la cheville droite,0.665705,0.4814,,1,1,1,3,1
111,M2537,Autres instabilités articulaires - Articulations de la cheville et du pied,instabilité chronique de la cheville droite,0.665705,0.5219,,1,1,1,3,1
112,M2537,Autres instabilités articulaires - Articulations de la cheville et du pied,stabilité articulaire après libération,0.156809,0.055,,0,0,0,0,0
113,M2551,"Douleur articulaire - Articulations acromio-claviculaire, scapulo-humérale, et sterno-claviculaire",rupture partielle du tendon supra-épineux,0.024631,0.3452,,1,0,0,1,0
114,M2556,Douleur articulaire - Articulation du genou,douleurs persistantes au genou droit,0.728295,0.4903,,1,1,1,3,1
115,M2557,Douleur articulaire - Articulations de la cheville et du pied,douleur persistante de la cheville droite,0.778509,0.5323,,1,1,1,3,1
116,M2562,"Raideur articulaire, non classée ailleurs - Articulation du coude",raideur invalidante du coude droit évoluant depuis plusieurs mois,0.792491,0.513,,1,1,1,3,1
117,M2564,"Raideur articulaire, non classée ailleurs - Articulations de la main",raideur articulaire invalidante de la main droite,0.810803,0.5652,,1,1,1,3,1
118,M2564,"Raideur articulaire, non classée ailleurs - Articulations de la main",raideur invalidante des articulations de la main droite,0.833846,0.5035,,1,1,1,3,1
119,M2564,"Raideur articulaire, non classée ailleurs - Articulations de la main",raideur décrite en préopératoire,0.315395,0.2255,,1,1,1,3,1
120,M2566,"Raideur articulaire, non classée ailleurs - Articulation du genou",récessus sous-quadricipital et sous-rotulien,0.046361,0.1829,,1,0,0,1,0
121,M2567,"Raideur articulaire, non classée ailleurs - Articulations de la cheville et du pied",raideur articulaire invalid,0.28495,0.2631,,1,1,1,3,1
122,M6504,Abcès de la gaine du tendon - Main,abcès des gaines tendineuses des fléchisseurs de la main droite,0.829965,0.5386,,1,1,1,3,1
123,M6504,Abcès de la gaine du tendon - Main,abcès de la gaine des tendons fléchisseurs de la main droite,0.829843,0.5345,,1,1,1,3,1
124,M6504,Abcès de la gaine du tendon - Main,abcès de la gaine des tendons fléchisseurs du 3ème rayon,0.62877,0.1327,,1,1,1,3,1
125,M6504,Abcès de la gaine du tendon - Main,abcès de la gaine des tendons fléchisseurs de la main droite,0.829843,0.5972,,1,1,1,3,1
126,M6504,Abcès de la gaine du tendon - Main,abcès collecté,0.311592,0.2189,,1,1,0,2,1
127,M6504,Abcès de la gaine du tendon - Main,Abcès de la gaine des tendons fléchisseurs du 3ème doigt,0.74753,0.4259,,1,1,1,3,1
128,M6514,Autres (téno)synovites infectieuses - Main,synovite infectieuse de la main droite,0.735898,0.5969,,1,1,1,3,1
129,M6514,Autres (téno)synovites infectieuses - Main,ténosynovite infectieuse des fléchisseurs du 3ème rayon de la main droite,0.566854,0.5884,,1,1,1,3,1
130,M6514,Autres (téno)synovites infectieuses - Main,ténosynovite infectieuse de la main droite,0.789679,0.502,,1,1,1,3,1
131,M6514,Autres (téno)synovites infectieuses - Main,synoviale pathologique,-0.054238,0.0522,,1,1,0,2,1
132,M653,"Doigt ""à ressort""",poulie A1,0.124932,0.0713,,0,0,0,0,0
133,M653,"Doigt ""à ressort""",blocage intermittent des doigts en flexion,0.358409,0.5307,,1,1,0,2,1
134,M6534,"Doigt ""à ressort"" - Main",doigt à ressaut,0.779292,0.4845,,1,1,1,3,1
135,M6534,"Doigt ""à ressort"" - Main",doigt à ressaut,0.779292,0.4296,,1,1,1,3,1
136,M6534,"Doigt ""à ressort"" - Main",doigt à ressaut au niveau de la main droite,0.772112,0.571,,1,1,1,3,1
137,M6534,"Doigt ""à ressort"" - Main",doigt à ressaut typique,0.76343,0.5086,,1,1,1,3,1
138,M6534,"Doigt ""à ressort"" - Main",doigt à ressaut au niveau de la main droite,0.772112,0.6027,,1,1,1,3,1
139,M6534,"Doigt ""à ressort"" - Main",doigt à ressaut au niveau de la main droite,0.772112,0.4267,,1,1,1,3,1
140,M6534,"Doigt ""à ressort"" - Main",poulie A1 du 4e doigt,0.52324,0.1294,,0,0,0,0,0
141,M6544,Ténosynovite chronique sténosante du pouce (de Quervain) - Main,ténosynovite sténosante de De Quervain,0.5274,0.4474,,1,1,1,3,1
142,M6544,Ténosynovite chronique sténosante du pouce (de Quervain) - Main,ténosynovite sténosante du pouce droit (maladie de De Quervain) évolu,0.883238,0.3832,,1,1,1,3,1
143,M6544,Ténosynovite chronique sténosante du pouce (de Quervain) - Main,ténosynovite de De Quervain,0.468186,0.4456,,1,1,1,3,1
144,M6544,Ténosynovite chronique sténosante du pouce (de Quervain) - Main,ténosynovite sténosante du pouce droit (maladie de De Quervain) évolu,0.883238,0.4078,,1,1,1,3,1
145,M6583,Autres synovites et ténosynovites - Avant-bras,gaines synoviales,0.045105,0.0722,,0,0,0,0,0
146,M6583,Autres synovites et ténosynovites - Avant-bras,paquet vasculonerveux,-0.058835,0.0528,,0,0,0,0,0
147,M6583,Autres synovites et ténosynovites - Avant-bras,ténosynovite chronique,0.251309,0.2976,,1,1,1,3,1
148,M6583,Autres synovites et ténosynovites - Avant-bras,synoviale pathologique,-0.00617,0.0733,,1,1,0,2,1
149,M6583,Autres synovites et ténosynovites - Avant-bras,épaississement synovial marqué,-0.028978,0.2998,,1,1,1,3,1
150,M6584,Autres synovites et ténosynovites - Main,ténosynovite inflammatoire de la main droite,0.7593,0.5421,,1,1,1,3,1
151,M6584,Autres synovites et ténosynovites - Main,matériel d'ostéosynthèse au niveau de la main droite,0.277659,0.0518,,0,0,0,0,0
152,M6584,Autres synovites et ténosynovites - Main,épaississement synovial notable,-0.029065,0.1759,,1,1,1,3,1
153,M6584,Autres synovites et ténosynovites - Main,gaines synoviales pathologiques,0.044517,0.4138,,1,1,0,2,1
154,M6584,Autres synovites et ténosynovites - Main,ténosynovite chronique,0.331308,0.2679,,1,1,1,3,1
155,M6584,Autres synovites et ténosynovites - Main,gêne fonctionnelle importante au niveau de la main droite,0.439701,0.3515,,1,0,0,1,0
156,M6584,Autres synovites et ténosynovites - Main,ténosynovite chronique du poignet droit,0.565448,0.4946,,1,1,1,3,1
157,M6584,Autres synovites et ténosynovites - Main,corps étrangers profonds de la main droite,0.372502,0.2611,,0,0,0,0,0
158,M6584,Autres synovites et ténosynovites - Main,aspect inflammatoire marqué des gaines synoviales,0.058104,0.2993,,1,1,1,3,1
159,M6584,Autres synovites et ténosynovites - Main,ténosynovite inflammatoire de la main droite,0.7593,0.5858,,1,1,1,3,1
160,M6584,Autres synovites et ténosynovites - Main,présent,0.037225,0.0523,,0,0,0,0,0
161,M6584,Autres synovites et ténosynovites - Main,Synovite inflammatoire marqué,0.097989,0.1356,,1,1,1,3,1
162,M6584,Autres synovites et ténosynovites - Main,ténosynovite sous-jacente,0.304038,0.44,,1,1,1,3,1
163,M6584,Autres synovites et ténosynovites - Main,synovite,0.139477,0.0719,,1,1,1,3,1
164,M6584,Autres synovites et ténosynovites - Main,"synoviale épaissie, hyperhémiée",-0.073518,0.332,,1,1,1,3,1
165,M6586,Autres synovites et ténosynovites - Jambe,épanchement modéré du genou droit,0.293808,0.3791,,1,0,0,1,0
166,M6587,Autres synovites et ténosynovites - Cheville et pied,synoviale présentait un aspect hypertrophique et congestif,0.019288,0.1766,,1,1,1,3,1
167,M6587,Autres synovites et ténosynovites - Cheville et pied,ténosynovite inflammatoire a été constatée,0.248595,0.2763,,1,1,1,3,1
168,M6593,"Synovite et ténosynovite, sans précision - Avant-bras",ténosynovite chronique,0.265807,0.4471,,1,1,1,3,1
169,M6593,"Synovite et ténosynovite, sans précision - Avant-bras",gonflement des gaines tendineuses,-0.037887,0.3074,,1,1,1,3,1
170,M6594,"Synovite et ténosynovite, sans précision - Main",ténosynovite,0.445374,0.0694,,1,1,1,3,1
171,M6594,"Synovite et ténosynovite, sans précision - Main",ténosynovite chronique,0.340419,0.3611,,1,1,1,3,1
172,M7004,Synovite sèche de la main et du poignet - Main,synovite sèche,0.361005,0.12,,1,1,1,3,1
173,M7004,Synovite sèche de la main et du poignet - Main,synoviale pathologique,0.017344,0.0939,,1,1,0,2,1
174,M7022,Bursite olécrânienne - Articulation du coude,bursite olécrânienne chronique,0.663111,0.3543,,1,1,1,3,1
175,M703,Autres bursites du coude,hygroma du coude droit par abord direct,0.54534,0.3736,,1,1,1,3,1
176,M7032,Autres bursites du coude - Articulation du coude,bursite chronique du coude droit,0.805439,0.5513,,1,1,1,3,1
177,M7056,Autres bursites du genou - Articulation du genou,bursite chronique du genou droit,0.766958,0.5282,,1,1,1,3,1
178,M7114,Autres bursites infectieuses - Main,bursite infectée de la main droite,0.821446,0.6022,,1,1,1,3,1
179,M7204,Fibromatose de l'aponévrose palmaire (Dupuytren) - Main,fibromatose palmaire était particulièrement marquée,0.658181,0.2994,,1,1,1,3,1
180,M7204,Fibromatose de l'aponévrose palmaire (Dupuytren) - Main,maladie de Dupuytren,0.456744,0.4644,,1,1,1,3,1
181,M7204,Fibromatose de l'aponévrose palmaire (Dupuytren) - Main,maladie de Dupuytren évolutive au niveau de la main droite,0.698904,0.4201,,1,1,1,3,1
182,M7615,Tendinite du psoas - Région pelvienne et cuisse,tendinopathie chronique du psoas droit,0.768402,0.59,,1,1,1,3,1
183,M7656,Tendinite rotulienne - Jambe,tendinopathie rotulienne chronique du genou droit,0.750987,0.6032,,1,1,1,3,1
184,M7712,Épicondylite - Bras,épicondyle latéral,0.634023,0.159,,0,0,0,0,0
185,M7712,Épicondylite - Bras,épicondyle latéral,0.634023,0.1569,,0,0,0,0,0
186,M7737,Exostose calcanéenne - Cheville et pied,Exostose calcanéenne bien limitée,0.7253,0.3181,,1,1,1,3,1
187,M7737,Exostose calcanéenne - Cheville et pied,exostose calcanéenne,0.772515,0.3446,,1,1,1,3,1
188,M7747,Métatarsalgie - Cheville et pied,métatarsalgie mécanique,0.745964,0.1856,,1,1,1,3,1
189,M7747,Métatarsalgie - Cheville et pied,métatarsalgie,0.811961,0.2722,,1,1,1,3,1
190,M7952,Corps étranger résiduel dans un tissu mou - Bras,gêne persistante au niveau du bras droit,0.547469,0.3391,,1,0,0,1,0
191,M7953,Corps étranger résiduel dans un tissu mou - Avant-bras,"corps étranger, mesurant environ 5 mm",0.322579,0.1419,,1,1,1,3,1
192,M7953,Corps étranger résiduel dans un tissu mou - Avant-bras,tissus mous environnants,-0.029546,0.0717,,1,0,0,1,0
193,M7954,Corps étranger résiduel dans un tissu mou - Main,corps étranger au niveau des tissus mous de la main droite,0.786222,0.3621,,1,1,1,3,1
194,M7954,Corps étranger résiduel dans un tissu mou - Main,corps étrangers résiduels dans les tissus mous de la main,0.869717,0.4701,,1,1,1,3,1
195,M7954,Corps étranger résiduel dans un tissu mou - Main,corps étranger métallique mesurant environ 3 mm,0.449376,0.43,,1,1,1,3,1
196,M7954,Corps étranger résiduel dans un tissu mou - Main,corps étrangers profonds de la main,0.762024,0.2943,,1,1,1,3,1
197,M7954,Corps étranger résiduel dans un tissu mou - Main,corps étranger résiduel au niveau des tissus mous de la main droit,0.889361,0.2279,,1,1,1,3,1
198,M7954,Corps étranger résiduel dans un tissu mou - Main,corps étranger résiduel au niveau de la main droite,0.860701,0.5355,,1,1,1,3,1
199,M7954,Corps étranger résiduel dans un tissu mou - Main,corps étranger résiduel,0.473665,0.2012,,1,1,1,3,1
200,M7954,Corps étranger résiduel dans un tissu mou - Main,corps étranger résiduel,0.473665,0.2218,,1,1,1,3,1
201,M7954,Corps étranger résiduel dans un tissu mou - Main,corps étranger résiduel dans les tissus mous de la main,0.904528,0.561,,1,1,1,3,1
202,M7954,Corps étranger résiduel dans un tissu mou - Main,corps étranger résiduel,0.473665,0.2529,,1,1,1,3,1
203,M7954,Corps étranger résiduel dans un tissu mou - Main,gêne persistante au niveau de la main droite,0.49311,0.2569,,1,0,0,1,0
204,M7956,Corps étranger résiduel dans un tissu mou - Jambe,corps étranger résiduel dans les tissus mous de la jambe gauche,0.872716,0.5248,,1,1,1,3,1
205,M7957,Corps étranger résiduel dans un tissu mou - Cheville et pied,gêne persistante au niveau de la face plantaire du pied droit,0.509224,0.267,,1,0,0,1,0
206,M7957,Corps étranger résiduel dans un tissu mou - Cheville et pied,corps étrangers résiduel,0.410216,0.1767,,1,1,1,3,1
